Crash Date,Crash Time,X,Y,City/Town,Crash Severity,Maximum Injury Severity Reported,Crash Number,Most Harmful Events,Non Motorist Type
11/30/01,4:45 PM,279839.531,836355.5002,BOURNE,Property damage only (none injured),No injury,1405101,V1:(Collision with pedestrian),P3:Pedestrian
12/17/01,6:42 AM,232873.5703,914358.8722,STONEHAM,Non-fatal injury,Non-fatal injury - Possible,1405130,V1:(Collision with pedestrian),P2:Pedestrian
12/31/01,4:48 PM,174899.1405,889874.1875,WORCESTER,Non-fatal injury,Non-fatal injury - Incapacitating,1405207,V1:(Collision with pedestrian),P2:Pedestrian
11/29/01,4:35 PM,250430.1121,924037.3939,BEVERLY,Non-fatal injury,Non-fatal injury - Incapacitating,1405263,V1:(Collision with pedestrian),P2:Pedestrian
12/7/01,6:58 PM,229104.071,848153.9024,TAUNTON,Not Reported,Non-fatal injury - Non-incapacitating,1405345,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
12/25/01,1:45 PM,226636.6629,938550.2805,LAWRENCE,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1405420,V1:(Collision with pedestrian),P5:Pedestrian
12/2/01,11:15 AM,,,TAUNTON,Property damage only (none injured),Non-fatal injury - Possible,1405427,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
12/21/01,10:10 AM,227672.0287,939699.435,LAWRENCE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1405428,V1:(Collision with pedestrian),P2:Pedestrian
12/3/01,12:50 PM,225896.8125,917008.5,BURLINGTON,Non-fatal injury,Non-fatal injury - Non-incapacitating,1405429,V1:(),P2:Pedestrian
12/26/01,8:30 AM,228027.3438,940089.0002,LAWRENCE,Non-fatal injury,Non-fatal injury - Incapacitating,1405434,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
12/31/01,6:35 PM,237200.3732,878125.7735,RANDOLPH,Property damage only (none injured),Non-fatal injury - Possible,1405452,V1:(Collision with pedestrian),P5:Pedestrian
12/13/01,7:44 PM,223852.7969,920632.7498,BURLINGTON,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1405510,V1:(Collision with pedestrian),P2:Pedestrian
12/19/01,5:00 PM,173407.3351,888911.2244,WORCESTER,Property damage only (none injured),Non-fatal injury - Possible,1405615,V1:(Collision with pedestrian),P2:Pedestrian
12/19/01,7:48 AM,,,DANVERS,Not Reported,Not reported,1402426,V1:(Collision with pedestrian),P4:Pedestrian
11/18/01,11:30 AM,229647.6743,828082.4469,FALL RIVER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1402435,V1:(Collision with pedestrian),P2:Pedestrian
12/3/01,12:00 AM,231941.2341,905555.4998,SOMERVILLE,Property damage only (none injured),No injury,1402442,V1:(Collision with pedestrian),P2:Pedestrian
12/12/01,2:46 PM,232848.3858,904808.7658,SOMERVILLE,Property damage only (none injured),Non-fatal injury - Incapacitating,1402465,V1:(Collision with pedestrian),P4:Pedestrian
11/27/01,5:23 PM,231849.28,905596.4741,SOMERVILLE,Property damage only (none injured),No injury,1402469,V1:(Collision with pedestrian),P2:Pedestrian
11/30/01,7:00 PM,227263.4844,939908.7501,LAWRENCE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1402531,V1:(Collision with pedestrian),P2:Pedestrian
11/6/01,5:26 PM,85913.11623,903304.919,CHESTERFIELD,Non-fatal injury,Non-fatal injury - Incapacitating,1402546,V1:(Collision with pedestrian),P2:Pedestrian / P3:Pedestrian / P4:Pedestrian
11/10/01,11:49 PM,,,SOMERVILLE,Property damage only (none injured),No injury,1402553,V1:(Collision with pedestrian),P2:Pedestrian
12/18/01,7:09 AM,230569.5938,906009.25,SOMERVILLE,Property damage only (none injured),Non-fatal injury - Incapacitating,1402608,V1:(Collision with pedestrian),P2:Pedestrian
11/20/01,6:00 PM,231613.5733,892169.8373,BOSTON,Not Reported,Not reported,1402699,V1:(),P2:Pedestrian
12/24/01,8:57 PM,233081.5386,903816.5523,SOMERVILLE,Not Reported,Not reported,1402705,V1:(Collision with pedestrian),P2:Pedestrian
12/10/01,12:00 AM,215352.2678,931769.0849,LOWELL,Non-fatal injury,Non-fatal injury - Non-incapacitating,1402746,V1:(Collision with pedestrian),P2:Pedestrian / P3:Pedestrian
11/26/01,9:40 PM,239727.2811,870523.7501,BROCKTON,Property damage only (none injured),No injury,1402756,V1:(Collision with pedestrian),P2:Pedestrian
12/20/01,4:58 PM,232001.1451,905513.7685,SOMERVILLE,Property damage only (none injured),Non-fatal injury - Incapacitating,1402877,V1:(Collision with pedestrian),P3:Pedestrian
11/24/01,11:27 AM,178513.0768,922055.2855,LEOMINSTER,Property damage only (none injured),No injury,1402909,V1:(Collision with pedestrian),P3:Pedestrian
11/21/01,4:28 PM,206149.6283,910595.4949,ACTON,Not Reported,Non-fatal injury - Possible,1402993,V1:() V2:(),P3:Pedestrian
11/30/01,9:31 PM,211531.2655,894443.1874,NATICK,Non-fatal injury,Non-fatal injury - Non-incapacitating,1403006,V1:(Collision with pedestrian),P4:Pedestrian
12/14/01,7:24 AM,235213.3063,873602.2121,STOUGHTON,Non-fatal injury,Non-fatal injury - Non-incapacitating,1403052,V1:(Collision with pedestrian),P2:Pedestrian
12/13/01,5:30 PM,247082.0157,820299.0624,NEW BEDFORD,Property damage only (none injured),No injury,1403099,V1:(),P2:Pedestrian
12/19/01,12:43 PM,238582.8437,873701.6671,BROCKTON,Property damage only (none injured),Non-fatal injury - Possible,1403188,V1:(Collision with pedestrian),P2:Pedestrian
12/16/01,7:25 PM,248067.9372,825683.1249,NEW BEDFORD,Non-fatal injury,Non-fatal injury - Possible,1403229,V1:(Collision with pedestrian),P2:Pedestrian
12/15/01,3:15 PM,238876.547,891734.8677,QUINCY,Not Reported,Non-fatal injury - Incapacitating,1403243,V1:(Collision with pedestrian),P2:Pedestrian
12/14/01,7:15 PM,240872.9442,889290.7557,QUINCY,Non-fatal injury,Non-fatal injury - Possible,1403267,V1:(Collision with pedestrian),P2:Pedestrian
12/14/01,4:59 PM,240894.9401,887504.3074,QUINCY,Non-fatal injury,Non-fatal injury - Non-incapacitating,1403274,V1:(Collision with pedestrian),P2:Pedestrian
12/5/01,5:37 PM,250161.7971,820535.0627,FAIRHAVEN,Non-fatal injury,Non-fatal injury - Non-incapacitating,1403319,V1:(Collision with pedestrian),P2:Pedestrian
11/27/01,1:45 PM,238579.9077,892446.9162,QUINCY,Not Reported,Not reported,1403348,V1:(Collision with parked motor vehicle),P2:Pedestrian
12/19/01,4:44 PM,238616.7634,891849.9551,QUINCY,Property damage only (none injured),Non-fatal injury - Incapacitating,1403367,V1:(Collision with pedestrian),P2:Pedestrian
12/7/01,2:22 PM,263863.4061,873444.2498,MARSHFIELD,Property damage only (none injured),No injury,1403489,V1:(Collision with pedestrian) V2:(),"P3:Pedestrian / P5:Pedalcyclist (bicycle, tricycle, unicycle, pedal car)"
12/13/01,6:48 PM,233730.5383,892828.5858,BOSTON,Unknown,Not reported,1405619,V1:(Collision with pedestrian),P3:Pedestrian
12/8/01,2:34 PM,173201.0867,896881.5902,HOLDEN,Non-fatal injury,Non-fatal injury - Non-incapacitating,1405634,V1:(Collision with pedestrian),P2:Pedestrian
12/14/01,4:33 PM,166061.2113,921331.348,WESTMINSTER,Property damage only (none injured),No injury,1405653,V1:(Collision with pedestrian),P2:Pedestrian
12/23/01,1:57 PM,223051.5783,914898.5623,BURLINGTON,Not Reported,Not reported,1405654,V1:(Collision with pedestrian),P2:Pedestrian
12/17/01,4:49 PM,192340.4176,898526.6775,MARLBOROUGH,Property damage only (none injured),No injury,1403517,V1:(Collision with pedestrian),P3:Pedestrian
12/12/01,1:27 PM,173662.8455,890499.1018,WORCESTER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1403530,V1:(Collision with pedestrian),P2:Pedestrian
12/13/01,7:31 AM,174899.1405,889874.1875,WORCESTER,Non-fatal injury,Non-fatal injury - Possible,1403588,V1:(Collision with pedestrian),P2:Pedestrian
12/14/01,4:05 PM,219897.234,929977.2515,TEWKSBURY,Unknown,Not reported,1403591,V1:(Unknown),P2:Pedestrian
12/20/01,7:57 AM,242578.9424,887750.8825,QUINCY,Non-fatal injury,Non-fatal injury - Non-incapacitating,1403644,V1:(Collision with pedestrian) V2:(),P4:Pedestrian / P5:Pedestrian / P6:Pedestrian
12/20/01,11:28 PM,,,QUINCY,Non-fatal injury,Non-fatal injury - Incapacitating,1403648,V1:(Collision with pedestrian),P2:Pedestrian
12/21/01,10:05 PM,214848.0983,931105.2958,LOWELL,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1403681,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),P4:Pedestrian
12/11/01,2:14 PM,228511.5591,940803.0267,LAWRENCE,Not Reported,Not reported,1405771,V1:(Collision with pedestrian),P2:Pedestrian
12/7/01,8:10 AM,,,LAWRENCE,Non-fatal injury,Non-fatal injury - Incapacitating,1405788,V1:(Collision with pedestrian),P2:Pedestrian
11/16/01,9:58 PM,174531.5392,891206.9774,WORCESTER,Property damage only (none injured),No injury,1405905,V1:(Collision with pedestrian),P2:Pedestrian
12/25/01,6:00 PM,249054.3037,888911.4504,HINGHAM,Property damage only (none injured),Non-fatal injury - Possible,1406037,V1:(Collision with pedestrian),P2:Pedestrian
12/22/01,10:45 PM,247444.3208,823864.1284,NEW BEDFORD,Non-fatal injury,Non-fatal injury - Non-incapacitating,1406233,V1:(Collision with pedestrian),P2:Pedestrian
11/29/01,6:09 PM,235408.4407,916787.8955,WAKEFIELD,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1406350,V1:(Collision with pedestrian),P2:Pedestrian
12/7/01,12:00 PM,248095.1096,914000.0003,SWAMPSCOTT,Non-fatal injury,Non-fatal injury - Possible,1406392,V1:(),P2:Pedestrian
12/19/01,12:47 PM,249314.3595,922893.8903,BEVERLY,Property damage only (none injured),No injury,1406397,V1:(),P2:Pedestrian
12/5/01,2:05 PM,227323.7928,898148.1717,NEWTON,Property damage only (none injured),No injury,1406412,V1:(Collision with pedestrian),P2:Pedestrian
12/21/01,4:42 PM,247731.2343,820822.5,NEW BEDFORD,Non-fatal injury,Non-fatal injury - Incapacitating,1406455,V1:(Collision with pedestrian),P2:Pedestrian
12/18/01,6:44 AM,228935.7668,901682.9352,WATERTOWN,Non-fatal injury,Non-fatal injury - Non-incapacitating,1406624,V1:(),P2:Pedestrian
12/19/01,12:40 PM,215699.5552,935243.629,DRACUT,Property damage only (none injured),No injury,1406638,V1:(Collision with pedestrian),P2:Pedestrian
11/22/01,12:45 PM,233812.7969,947528.6249,HAVERHILL,Property damage only (none injured),No injury,1406662,V1:(Collision with pedestrian),P2:Pedestrian
12/7/01,4:30 PM,248691.9869,818218.4387,NEW BEDFORD,Unknown,Non-fatal injury - Incapacitating,1406677,V1:(Collision with pedestrian),P2:Pedestrian
12/22/01,2:35 PM,115059.2076,870284.8219,EAST LONGMEADOW,Not Reported,Not reported,1406726,V1:() V2:() V3:() V4:(),P3:Pedestrian
11/15/01,9:30 AM,234069.4091,946257.407,HAVERHILL,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1406729,V1:(),P2:Pedestrian
12/11/01,12:45 PM,222002.2814,910069.75,LEXINGTON,Property damage only (none injured),No injury,1406825,V1:(Collision with pedestrian),P2:Pedestrian
12/5/01,2:31 PM,221632.4575,911089.0813,LEXINGTON,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1406852,V1:(Collision with pedestrian),P2:Pedestrian
12/28/01,1:56 PM,,,TISBURY,Property damage only (none injured),No injury,1406864,V1:(),P2:Pedestrian
12/21/01,4:10 PM,213334.6331,868305.6646,WRENTHAM,Non-fatal injury,Non-fatal injury - Possible,1407030,V1:(Collision with pedestrian),P2:Pedestrian
12/5/01,4:45 PM,,,FALL RIVER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1407157,V1:(),P2:Pedestrian
12/4/01,9:24 AM,213735.5545,867824.6197,WRENTHAM,Not Reported,Not reported,1407186,V1:(Collision with pedestrian),P2:Pedestrian
12/11/01,11:30 PM,241637.6099,907688.7151,REVERE,Non-fatal injury,Non-fatal injury - Incapacitating,1407336,V1:(Collision with pedestrian) V2:(),P3:Pedestrian
12/24/01,7:05 PM,207369.8052,892925.8419,FRAMINGHAM,Non-fatal injury,Non-fatal injury - Incapacitating,1407439,V1:(),P2:Pedestrian
12/13/01,5:24 PM,239513.8749,871577.0626,BROCKTON,Not Reported,Not reported,1407545,V1:(),P2:Pedestrian
12/18/01,7:05 PM,,,LOWELL,Property damage only (none injured),No injury,1407595,V1:(Collision with pedestrian),P2:Pedestrian
11/7/01,3:30 PM,174171.9689,891521.9376,WORCESTER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1407643,V1:(Collision with pedestrian),P2:Pedestrian
11/15/01,9:08 PM,173964.1284,890057.5653,WORCESTER,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1407651,V1:(),P2:Pedestrian
12/26/01,5:25 AM,234096.4526,901821.3753,CAMBRIDGE,Not Reported,Non-fatal injury - Possible,1407753,V1:(Collision with pedestrian),P2:Pedestrian
12/15/01,6:30 PM,207937.2031,893003.6877,FRAMINGHAM,Property damage only (none injured),No injury,1407811,V1:(Collision with pedestrian),P2:Pedestrian
12/17/01,5:51 PM,205221.7532,894405.9285,FRAMINGHAM,Property damage only (none injured),Non-fatal injury - Incapacitating,1407827,V1:(Collision with pedestrian),P2:Pedestrian
12/7/01,9:22 PM,239422.6877,870722.8126,BROCKTON,Property damage only (none injured),Non-fatal injury - Possible,1407915,V1:(Collision with pedestrian),P2:Pedestrian
12/21/01,4:07 PM,111675.3519,928860.282,GREENFIELD,Property damage only (none injured),No injury,1407954,V1:(Collision with pedestrian),P2:Pedestrian
11/25/01,6:26 PM,,,DEERFIELD,Property damage only (none injured),No injury,1407958,V1:(Collision with pedestrian),P4:Pedestrian
11/29/01,9:15 AM,235774.2028,905182.3295,EVERETT,Property damage only (none injured),Non-fatal injury - Incapacitating,1408098,V1:(Collision with pedestrian),P2:Pedestrian
12/10/01,2:00 PM,227585.3905,938549.2498,LAWRENCE,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1408194,V1:(Collision with pedestrian),P2:Pedestrian
12/5/01,3:10 PM,235819.4101,905248.9596,EVERETT,Non-fatal injury,Non-fatal injury - Possible,1408215,V1:(Collision with pedestrian),P2:Pedestrian
12/6/01,5:42 PM,,,MARLBOROUGH,Non-fatal injury,Non-fatal injury - Non-incapacitating,1408245,V1:(Collision with pedestrian),P2:Pedestrian / P3:Pedestrian
11/8/01,6:00 PM,237805.4895,879421.5088,RANDOLPH,Non-fatal injury,Non-fatal injury - Possible,1408290,V1:(Collision with pedestrian),P2:Pedestrian
12/17/01,5:20 PM,233688.2969,892724.7501,BOSTON,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1408365,V1:(Collision with pedestrian),P2:Pedestrian
12/2/01,6:55 AM,233120.5002,901712.375,CAMBRIDGE,Non-fatal injury,Non-fatal injury - Non-incapacitating,1408370,V1:(),P2:Pedestrian
11/30/01,7:21 PM,106841.9767,875982.6874,WEST SPRINGFIELD,Not Reported,Non-fatal injury - Non-incapacitating,1408389,V1:(),P2:Pedestrian / P3:Pedestrian / P4:Pedestrian
12/1/01,1:40 PM,175509.8499,890124.7579,WORCESTER,Not Reported,Not reported,1408439,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
11/30/01,9:32 PM,174935.7342,891251.0625,WORCESTER,Non-fatal injury,Non-fatal injury - Incapacitating,1408464,V1:(Collision with pedestrian),P4:Pedestrian
12/7/01,8:10 AM,222989.2389,925964.1756,TEWKSBURY,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1408518,V1:(Collision with pedestrian),P2:Pedestrian
11/24/01,11:07 AM,220220.274,877836.1711,WALPOLE,Property damage only (none injured),No injury,1408572,V1:(Collision with pedestrian),P2:Pedestrian
12/1/01,6:50 PM,218883.0027,932842.4501,TEWKSBURY,Property damage only (none injured),Non-fatal injury - Incapacitating,1408583,V1:(),P2:Pedestrian
12/14/01,10:10 PM,214109.3283,931605.2498,LOWELL,Non-fatal injury,Non-fatal injury - Incapacitating,1408598,V1:(Collision with parked motor vehicle),P2:Pedestrian / P3:Pedestrian
12/28/01,1:55 PM,235583.8813,908462.2555,MALDEN,Property damage only (none injured),No injury,1408617,V1:(Collision with pedestrian),P2:Pedestrian
12/28/01,5:05 PM,237313.2166,906402.7691,EVERETT,Non-fatal injury,Non-fatal injury - Incapacitating,1408709,V1:(Collision with pedestrian),P3:Pedestrian
12/14/01,8:10 PM,237601.3605,909363.9268,MALDEN,Property damage only (none injured),No injury,1408735,V1:(),P2:Pedestrian
12/19/01,5:50 PM,193932.2029,904727.6874,HUDSON,Non-fatal injury,Non-fatal injury - Non-incapacitating,1408745,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
12/19/01,1:54 PM,209412.6208,928676.3302,CHELMSFORD,Property damage only (none injured),No injury,1408849,V1:(Collision with pedestrian),P4:Pedestrian
11/29/01,7:15 AM,235403.1406,916304.7498,WAKEFIELD,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1408856,V1:(Collision with pedestrian),P4:Pedestrian
12/5/01,1:57 PM,232917.9497,914997.675,STONEHAM,Not Reported,Not reported,1408863,V1:(),P2:Pedestrian
11/30/01,9:30 PM,235758.0642,905158.1156,EVERETT,Property damage only (none injured),No injury,1408938,V1:(Collision with pedestrian),P2:Pedestrian
11/19/01,2:00 PM,175845.0054,889287.9037,WORCESTER,Property damage only (none injured),Non-fatal injury - Possible,1408963,V1:(Collision with pedestrian),P2:Pedestrian
11/7/01,2:15 PM,238033.5139,868988.1185,BROCKTON,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1400006,V1:(Collision with pedestrian),P2:Pedestrian
11/9/01,4:45 PM,239818.3807,870399.6621,BROCKTON,Non-fatal injury,Non-fatal injury - Possible,1400007,V1:(Collision with pedestrian),P3:Pedestrian
11/9/01,6:12 PM,240956.672,870501.3752,BROCKTON,Not Reported,Not reported,1400019,V1:(Collision with pedestrian),P2:Pedestrian
11/9/01,9:33 PM,241339.4688,872926.8124,BROCKTON,Property damage only (none injured),Non-fatal injury - Incapacitating,1400024,"V1:(Collision with other fixed object (wall, building, tunnel, etc.))",P2:Pedestrian
11/6/01,2:29 PM,237801.7812,870022.6874,BROCKTON,Property damage only (none injured),Non-fatal injury - Possible,1400056,V1:(Collision with pedestrian),P2:Pedestrian
11/1/01,12:46 PM,243422.643,860053.1382,BRIDGEWATER,Property damage only (none injured),Non-fatal injury - Possible,1400102,V1:(Collision with pedestrian),P2:Pedestrian
11/6/01,3:23 PM,227384.7188,907663.5,ARLINGTON,Not Reported,Non-fatal injury - Non-incapacitating,1400140,V1:(Collision with pedestrian),P2:Pedestrian
11/14/01,1:46 PM,214184.9374,933706.1875,LOWELL,Not Reported,Non-fatal injury - Possible,1400169,V1:(Collision with pedestrian),P2:Pedestrian
11/14/01,6:00 PM,214331.094,934357.9999,LOWELL,Not Reported,Not reported,1400174,V1:(Collision with pedestrian),P3:Pedestrian
11/7/01,5:30 AM,249143.3229,914767.9234,SWAMPSCOTT,Property damage only (none injured),Non-fatal injury - Possible,1400248,V1:(Collision with pedestrian),P2:Pedestrian
11/6/01,7:00 PM,226589.8817,874939.6735,SHARON,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1400288,V1:(Unknown),P3:Pedestrian
11/9/01,5:31 PM,324908.0116,837953.1371,ORLEANS,Property damage only (none injured),Non-fatal injury - Incapacitating,1400317,V1:(Collision with motor vehicle in traffic),P2:Pedestrian
11/5/01,4:19 PM,268285.8448,932334.1406,GLOUCESTER,Not Reported,Not reported,1400321,V1:(Unknown),P2:Pedestrian
11/17/01,5:20 PM,193107.3438,935016.6249,PEPPERELL,Non-fatal injury,Non-fatal injury - Incapacitating,1400356,V1:(Collision with pedestrian),P2:Pedestrian
11/12/01,2:50 PM,245510.0585,888860.5893,WEYMOUTH,Property damage only (none injured),No injury,1400374,V1:(Collision with pedestrian),P2:Pedestrian
11/19/01,10:10 AM,214844.5624,933091.7502,LOWELL,Property damage only (none injured),No injury,1400522,V1:(Collision with pedestrian),P5:Pedestrian
11/23/01,5:07 PM,152471.6876,872374.5001,STURBRIDGE,Property damage only (none injured),No injury,1401252,V1:(Other),P3:Pedestrian
11/15/01,5:23 PM,,,NEWTON,Non-fatal injury,Non-fatal injury - Incapacitating,1401260,V1:(Collision with pedestrian),P2:Pedestrian
11/14/01,5:33 PM,225386.8282,900604.5627,NEWTON,Property damage only (none injured),Non-fatal injury - Possible,1401267,V1:(Collision with pedestrian),P2:Pedestrian
11/28/01,12:20 PM,227077.8201,891364.0336,BOSTON,Property damage only (none injured),No injury,1401422,V1:(Collision with pedestrian),P2:Pedestrian
11/24/01,10:50 PM,212320.9062,931008.5,LOWELL,Non-fatal injury,Non-fatal injury - Possible,1401479,V1:(),P2:Pedestrian
11/13/01,9:16 PM,242601.0472,888035.4804,QUINCY,Property damage only (none injured),No injury,1401814,V1:(Collision with pedestrian),P2:Pedestrian
11/26/01,10:00 AM,227888.5145,939666.1435,LAWRENCE,Not Reported,Not reported,1401867,V1:(Collision with pedestrian),P3:Pedestrian
12/3/01,7:45 AM,229738.46,938358.7785,NORTH ANDOVER,Property damage only (none injured),No injury,1401873,V1:(),P2:Pedestrian
11/20/01,7:00 AM,227301.656,940821.1249,LAWRENCE,Property damage only (none injured),No injury,1401881,V1:(Collision with pedestrian),P2:Pedestrian
12/3/01,2:14 PM,215740.547,934315.4998,LOWELL,Property damage only (none injured),No injury,1401924,V1:(Collision with pedestrian),P2:Pedestrian
11/10/01,11:15 AM,230124.6751,892263.4453,BOSTON,Not Reported,Not reported,1401982,V1:(Collision with pedestrian),P2:Pedestrian
12/1/01,3:25 PM,228382.3907,892857.6873,BOSTON,Property damage only (none injured),No injury,1401996,V1:(Collision with pedestrian),P2:Pedestrian
11/18/01,8:50 AM,232795.7664,847230.2148,TAUNTON,Non-fatal injury,Non-fatal injury - Possible,1402017,V1:(Collision with pedestrian),P2:Pedestrian
11/26/01,9:15 PM,227932.6873,827077.1248,FALL RIVER,Property damage only (none injured),Non-fatal injury - Possible,1402070,V1:(Collision with pedestrian),P2:Pedestrian
11/25/01,9:45 AM,228008.7372,825859.6605,FALL RIVER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1402111,V1:(Collision with pedestrian),P2:Pedestrian
11/23/01,11:45 AM,229308.0567,828701.267,FALL RIVER,Property damage only (none injured),Non-fatal injury - Possible,1402147,V1:(),P2:Pedestrian
12/27/01,3:14 PM,216418.5465,933976.9376,LOWELL,Property damage only (none injured),No injury,1402198,V1:(Collision with pedestrian),P2:Pedestrian
12/27/01,1:30 PM,176162.0156,892839.0622,WORCESTER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1403777,V1:(Collision with pedestrian),P2:Pedestrian
12/27/01,12:10 PM,233766.9217,850314.3124,TAUNTON,Property damage only (none injured),No injury,1403781,V1:(Collision with pedestrian),P3:Pedestrian
12/10/01,5:51 PM,238695.2601,891540.5571,QUINCY,Not Reported,Not reported,1403809,V1:(Unknown),P2:Pedestrian / P3:Pedestrian
12/11/01,3:00 PM,177488.2618,895220.5798,WORCESTER,Non-fatal injury,Non-fatal injury - Non-incapacitating,1403827,V1:(Collision with pedestrian),P2:Pedestrian
12/17/01,5:11 PM,232075.0627,897693.4377,BOSTON,Property damage only (none injured),No injury,1403868,V1:(Collision with pedestrian),P2:Pedestrian
12/26/01,5:00 PM,230774.828,826414.8748,FALL RIVER,Non-fatal injury,Non-fatal injury - Possible,1403919,V1:(),P2:Pedestrian
12/18/01,7:10 AM,235928.7319,901380.4949,BOSTON,Non-fatal injury,Non-fatal injury - Incapacitating,1403949,V1:(Collision with pedestrian),P2:Pedestrian
11/18/01,5:50 PM,174451.7657,890061.5001,WORCESTER,Non-fatal injury,Non-fatal injury - Incapacitating,1408993,V1:(Collision with pedestrian),P2:Pedestrian
12/5/01,3:35 PM,230987.3546,829407.156,FALL RIVER,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1409007,V1:(Collision with pedestrian),P2:Pedestrian
12/18/01,5:33 PM,220607.3436,902505.375,WALTHAM,Non-fatal injury,Non-fatal injury - Incapacitating,1409103,V1:(),P2:Pedestrian
12/5/01,5:00 PM,236028.4533,906607.6874,EVERETT,Non-fatal injury,Non-fatal injury - Possible,1409104,V1:(Collision with pedestrian),P2:Pedestrian
12/26/01,5:01 PM,246009.9626,888319.4053,WEYMOUTH,Property damage only (none injured),Non-fatal injury - Non-incapacitating,1409232,V1:(Collision with pedestrian),P2:Pedestrian
